tree_rec,common_name,genus,species,status_text,address,street_direction,street_name,street_type,trunk_dia,fetched_on,municipality,lon,lat
69885,HOLLY OAK,QUERCUS,ILEX,Active,344,,ADENA,ST,18.0,2024-05-28,Pasadena,-118.1434753,34.1624353
69886,LIVE OAK,QUERCUS,AGRIFOLIA,Active,348,,ADENA,ST,9.0,2024-05-28,Pasadena,-118.1433142,34.1624372
69887,LIVE OAK,QUERCUS,AGRIFOLIA,Active,351,,ADENA,ST,10.0,2024-05-28,Pasadena,-118.1432638,34.1625472
69888,HOLLY OAK,QUERCUS,ILEX,Active,360,,ADENA,ST,17.0,2024-05-28,Pasadena,-118.1431758,34.1624383
69889,LIVE OAK,QUERCUS,AGRIFOLIA,Active,361,,ADENA,ST,25.0,2024-05-28,Pasadena,-118.1431337,34.1625482
69890,LIVE OAK,QUERCUS,AGRIFOLIA,Active,366,,ADENA,ST,41.0,2024-05-28,Pasadena,-118.1429941,34.1624368
69891,LIVE OAK,QUERCUS,AGRIFOLIA,Active,370,,ADENA,ST,23.0,2024-05-28,Pasadena,-118.1428558,34.1624359
69892,LIVE OAK,QUERCUS,AGRIFOLIA,Active,371,,ADENA,ST,10.0,2024-05-28,Pasadena,-118.1429685,34.1625527
69893,LIVE OAK,QUERCUS,AGRIFOLIA,Active,380,,ADENA,ST,41.0,2024-05-28,Pasadena,-118.1427333,34.1624368
69894,LIVE OAK,QUERCUS,AGRIFOLIA,Active,390,,ADENA,ST,30.0,2024-05-28,Pasadena,-118.1426166,34.1624394
69897,LIVE OAK,QUERCUS,AGRIFOLIA,Active,408,,ADENA,ST,20.0,2024-05-28,Pasadena,-118.1422223,34.162444
69898,HOLLY OAK,QUERCUS,ILEX,Active,1144,,AFTON,ST,14.0,2024-05-28,Pasadena,-118.1748287,34.1679776
69899,CHINESE ELM,ULMUS,PARVIFOLIA,Active,1155,,AFTON,ST,20.0,2024-05-28,Pasadena,-118.1749887,34.1680916
69902,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1175,,AFTON,ST,25.0,2024-05-28,Pasadena,-118.1754487,34.1680829
69903,HOLLY OAK,QUERCUS,ILEX,Active,1185,,AFTON,ST,12.0,2024-05-28,Pasadena,-118.1756851,34.1680799
69904,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1190,,AFTON,ST,21.0,2024-05-28,Pasadena,-118.1761974,34.1678455
69905,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1190,,AFTON,ST,33.0,2024-05-28,Pasadena,-118.1761736,34.1679305
69906,SOUTHERN LIVE OAK,QUERCUS,VIRGINIANA,Active,1195,,AFTON,ST,8.0,2024-05-28,Pasadena,-118.1759407,34.1680742
69907,CHINESE ELM,ULMUS,PARVIFOLIA,Active,1215,,AFTON,ST,26.0,2024-05-28,Pasadena,-118.1761803,34.1680779
69908,HOLLY OAK,QUERCUS,ILEX,Active,1215,,AFTON,ST,19.0,2024-05-28,Pasadena,-118.176332,34.1680737
69909,HOLLY OAK,QUERCUS,ILEX,Active,1215,,AFTON,ST,25.0,2024-05-28,Pasadena,-118.1764678,34.1680735
69910,CHINESE ELM,ULMUS,PARVIFOLIA,Active,1215,,AFTON,ST,22.0,2024-05-28,Pasadena,-118.1766006,34.1681729
69914,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1261,,AFTON,ST,18.0,2024-05-28,Pasadena,-118.1773684,34.1675469
69915,CHINESE ELM,ULMUS,PARVIFOLIA,Active,1280,,AFTON,ST,21.0,2024-05-28,Pasadena,-118.1771886,34.167464
69916,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1280,,AFTON,ST,12.0,2024-05-28,Pasadena,-118.1773097,34.1674383
69917,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1280,,AFTON,ST,23.0,2024-05-28,Pasadena,-118.1775709,34.1673445
69919,CHINESE ELM,ULMUS,PARVIFOLIA,Active,1211,,WELLINGTON,AVE,9.0,2024-05-28,Pasadena,-118.1793766,34.166351
69920,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,21.0,2024-05-28,Pasadena,-118.1782184,34.1666977
69921,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,27.0,2024-05-28,Pasadena,-118.1783872,34.1666497
69923,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,19.0,2024-05-28,Pasadena,-118.178082,34.1667427
69925,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,20.0,2024-05-28,Pasadena,-118.1791917,34.1664095
69926,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,13.0,2024-05-28,Pasadena,-118.1792707,34.1663915
69927,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,23.0,2024-05-28,Pasadena,-118.1786745,34.1665626
69928,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,13.0,2024-05-28,Pasadena,-118.1787858,34.1665296
69929,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,6.0,2024-05-28,Pasadena,-118.1788684,34.1665056
69930,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1211,,WELLINGTON,AVE,20.0,2024-05-28,Pasadena,-118.1789654,34.1664726
69932,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1405,,AFTON,ST,21.0,2024-05-28,Pasadena,-118.1794915,34.1663179
69933,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1405,,AFTON,ST,14.0,2024-05-28,Pasadena,-118.1796137,34.1662998
69934,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1405,,AFTON,ST,26.0,2024-05-28,Pasadena,-118.179779,34.1662906
69937,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1415,,AFTON,ST,16.0,2024-05-28,Pasadena,-118.1798832,34.1662875
69938,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1415,,AFTON,ST,26.0,2024-05-28,Pasadena,-118.1800053,34.1662813
69939,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1415,,AFTON,ST,20.0,2024-05-28,Pasadena,-118.1801131,34.1662692
69942,LIVE OAK,QUERCUS,AGRIFOLIA,Active,1435,,AFTON,ST,24.0,2024-05-28,Pasadena,-118.1802137,34.1662721
69944,CANARY ISLAND PINE,PINUS,CANARIENSIS,Active,3119,,ALAMEDA,ST,28.0,2024-05-28,Pasadena,-118.08609,34.153508
69945,CANARY ISLAND PINE,PINUS,CANARIENSIS,Active,3119,,ALAMEDA,ST,31.0,2024-05-28,Pasadena,-118.0860707,34.1536153
69946,CANARY ISLAND PINE,PINUS,CANARIENSIS,Active,3119,,ALAMEDA,ST,0.0,2024-05-28,Pasadena,-118.0860848,34.1535609
69947,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3124,,ALAMEDA,ST,16.0,2024-05-28,Pasadena,-118.0857901,34.1533186
69948,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3125,,ALAMEDA,ST,8.0,2024-05-28,Pasadena,-118.0858677,34.1534291
69949,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3131,,ALAMEDA,ST,12.0,2024-05-28,Pasadena,-118.0857415,34.1534276
69950,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3132,,ALAMEDA,ST,14.0,2024-05-28,Pasadena,-118.0856084,34.1533156
69951,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3139,,ALAMEDA,ST,14.0,2024-05-28,Pasadena,-118.0855827,34.1534325
69952,MOCK ORANGE,PITTOSPORUM,TOBIRA,Active,3145,,ALAMEDA,ST,10.0,2024-05-28,Pasadena,-118.0854565,34.153431
69955,JACARANDA,JACARANDA,MIMOSIFOLIA,Active,3167,,ALAMEDA,ST,5.0,2024-05-28,Pasadena,-118.0851224,34.153573
69956,AMERICAN SWEETGUM,LIQUIDAMBAR,STYRACIFLUA,Active,3167,,ALAMEDA,ST,10.0,2024-05-28,Pasadena,-118.0851088,34.1536782
69957,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3175,,ALAMEDA,ST,14.0,2024-05-28,Pasadena,-118.0847871,34.1534366
69959,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3178,,ALAMEDA,ST,19.0,2024-05-28,Pasadena,-118.084698,34.1533226
69961,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3178,,ALAMEDA,ST,14.0,2024-05-28,Pasadena,-118.0848542,34.1531623
69962,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3178,,ALAMEDA,ST,19.0,2024-05-28,Pasadena,-118.0848317,34.1532583
69963,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3182,,ALAMEDA,ST,18.0,2024-05-28,Pasadena,-118.0845756,34.1533275
69964,SIBERIAN ELM,ULMUS,PUMILA,Active,3198,,ALAMEDA,ST,0.0,2024-05-28,Pasadena,-118.0843326,34.1533287
69965,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3204,,ALAMEDA,ST,19.0,2024-05-28,Pasadena,-118.0841513,34.1533319
69966,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3210,,ALAMEDA,ST,10.0,2024-05-28,Pasadena,-118.0839728,34.1533359
69967,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3218,,ALAMEDA,ST,17.0,2024-05-28,Pasadena,-118.0838118,34.1533391
69969,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3242,,ALAMEDA,ST,20.0,2024-05-28,Pasadena,-118.0834418,34.1533455
69970,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3250,,ALAMEDA,ST,20.0,2024-05-28,Pasadena,-118.0832115,34.1533464
69971,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3256,,ALAMEDA,ST,20.0,2024-05-28,Pasadena,-118.083082,34.1533511
69973,CHINESE ELM,ULMUS,PARVIFOLIA,Active,3270,,ALAMEDA,ST,0.0,2024-05-28,Pasadena,-118.0828407,34.1533574
69974,CAMPHOR TREE,CINNAMOMUM,CAMPHORA,Active,3660,,ALDER,LN,16.0,2024-05-28,Pasadena,-118.0745972,34.1721334
69975,LIVE OAK,QUERCUS,AGRIFOLIA,Active,3665,,ALDER,LN,0.0,2024-05-28,Pasadena,-118.0741551,34.1723678
69976,CAMPHOR TREE,CINNAMOMUM,CAMPHORA,Active,3665,,ALDER,LN,11.0,2024-05-28,Pasadena,-118.0743888,34.172496
69977,PLANTING SITE-SMALL,PLANTING SITE,SMALL,Active,3680,,ALDER,LN,0.0,2024-05-28,Pasadena,-118.0739783,34.172241
69979,AMERICAN SWEETGUM,LIQUIDAMBAR,STYRACIFLUA,Active,3705,,ALDER,LN,18.0,2024-05-28,Pasadena,-118.073065,34.1724717
69980,AMERICAN SWEETGUM,LIQUIDAMBAR,STYRACIFLUA,Active,3705,,ALDER,LN,19.0,2024-05-28,Pasadena,-118.0730427,34.1725604
69981,AMERICAN SWEETGUM,LIQUIDAMBAR,STYRACIFLUA,Active,3710,,ALDER,LN,18.0,2024-05-28,Pasadena,-118.073176,34.1720278
69982,AMERICAN SWEETGUM,LIQUIDAMBAR,STYRACIFLUA,Active,3710,,ALDER,LN,17.0,2024-05-28,Pasadena,-118.0731487,34.1721309
69984,INCENSE CEDAR,CALOCEDRUS,DECURRENS,Active,1225,,ALEGRIA,ST,,2024-05-28,Pasadena,-118.0742397,34.1674608
69985,BLUE GUM,EUCALYPTUS,GLOBULUS,Active,3520,,ALEGRIA,ST,130.0,2024-05-28,Pasadena,-118.077707,34.1675277
69986,MODESTO ASH,FRAXINUS,VELUTINA 'modesto',Active,3520,,ALEGRIA,ST,30.0,2024-05-28,Pasadena,-118.0774643,34.1675222
69987,CRAPE MYRTLE,LAGERSTROEMIA,INDICA,Active,1700,,BRIGDEN,RD,2.0,2024-05-28,Pasadena,-118.1153716,34.1654207
69988,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,50,,ALESSANDRO,PL,11.0,2024-05-28,Pasadena,-118.1513631,34.1309591
69989,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,51,,BELLEFONTAINE,ST,8.0,2024-05-28,Pasadena,-118.1514531,34.1310974
69990,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,50,,ALESSANDRO,PL,10.0,2024-05-28,Pasadena,-118.1515474,34.1309548
69991,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,51,,BELLEFONTAINE,ST,9.0,2024-05-28,Pasadena,-118.1515934,34.1310945
69992,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,50,,ALESSANDRO,PL,11.0,2024-05-28,Pasadena,-118.1517816,34.1309823
69993,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,51,,BELLEFONTAINE,ST,8.0,2024-05-28,Pasadena,-118.1518038,34.1310942
69994,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,50,,ALESSANDRO,PL,11.0,2024-05-28,Pasadena,-118.1518958,34.1309822
69995,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,51,,BELLEFONTAINE,ST,8.0,2024-05-28,Pasadena,-118.1518984,34.1310982
69996,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,50,,ALESSANDRO,PL,10.0,2024-05-28,Pasadena,-118.1521339,34.1309819
69997,YEW PINE,PODOCARPUS,MACROPHYLLUS,Active,50,,ALESSANDRO,PL,12.0,2024-05-28,Pasadena,-118.1523509,34.1309816
69998,CHINESE ELM,ULMUS,PARVIFOLIA,Active,81,,ALESSANDRO,PL,14.0,2024-05-28,Pasadena,-118.1521309,34.1310972
69999,CHINESE ELM,ULMUS,PARVIFOLIA,Active,81,,ALESSANDRO,PL,20.0,2024-05-28,Pasadena,-118.1522369,34.1310971
70000,CHINESE ELM,ULMUS,PARVIFOLIA,Active,81,,ALESSANDRO,PL,11.0,2024-05-28,Pasadena,-118.1523951,34.1310955
70003,LIVE OAK,QUERCUS,AGRIFOLIA,Active,42,N,ALLEN,AVE,9.0,2024-05-28,Pasadena,-118.1130842,34.1469427
70005,HOLLY OAK,QUERCUS,ILEX,Active,52,N,ALLEN,AVE,12.0,2024-05-28,Pasadena,-118.1130843,34.1470195
70006,HOLLY OAK,QUERCUS,ILEX,Active,66,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1130876,34.1471718
70008,HOLLY OAK,QUERCUS,ILEX,Active,86,N,ALLEN,AVE,20.0,2024-05-28,Pasadena,-118.1130925,34.1474914
70009,HOLLY OAK,QUERCUS,ILEX,Active,86,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1130957,34.1475983
70011,HOLLY OAK,QUERCUS,ILEX,Active,92,N,ALLEN,AVE,20.0,2024-05-28,Pasadena,-118.1130959,34.1477392
70014,HOLLY OAK,QUERCUS,ILEX,Active,116,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1131055,34.1481318
70015,HOLLY OAK,QUERCUS,ILEX,Active,125,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.113265,34.1482905
70018,HOLLY OAK,QUERCUS,ILEX,Active,125,N,ALLEN,AVE,20.0,2024-05-28,Pasadena,-118.1132675,34.1487665
70019,HOLLY OAK,QUERCUS,ILEX,Active,128,N,ALLEN,AVE,26.0,2024-05-28,Pasadena,-118.1131057,34.148269
70020,HOLLY OAK,QUERCUS,ILEX,Active,132,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.1131059,34.1484137
70022,HOLLY OAK,QUERCUS,ILEX,Active,157,N,ALLEN,AVE,22.0,2024-05-28,Pasadena,-118.1132691,34.1488698
70024,LIVE OAK,QUERCUS,AGRIFOLIA,Active,259,N,ALLEN,AVE,12.0,2024-05-28,Pasadena,-118.1136106,34.1506322
70025,HOLLY OAK,QUERCUS,ILEX,Active,260,N,ALLEN,AVE,12.0,2024-05-28,Pasadena,-118.1129054,34.1506638
70027,HOLLY OAK,QUERCUS,ILEX,Active,276,N,ALLEN,AVE,8.0,2024-05-28,Pasadena,-118.1130368,34.1509384
70028,LIVE OAK,QUERCUS,AGRIFOLIA,Active,276,N,ALLEN,AVE,34.0,2024-05-28,Pasadena,-118.1127502,34.1507989
70029,HOLLY OAK,QUERCUS,ILEX,Active,286,N,ALLEN,AVE,9.0,2024-05-28,Pasadena,-118.11303,34.1510733
70032,HOLLY OAK,QUERCUS,ILEX,Active,382,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.1130175,34.1512825
70033,HOLLY OAK,QUERCUS,ILEX,Active,1785,,LOCUST,ST,10.0,2024-05-28,Pasadena,-118.113326,34.1513109
70034,SOUTHERN MAGNOLIA,MAGNOLIA,GRANDIFLORA,Active,303,N,ALLEN,AVE,8.0,2024-05-28,Pasadena,-118.1137002,34.1517402
70036,LIVE OAK,QUERCUS,AGRIFOLIA,Active,436,N,ALLEN,AVE,17.0,2024-05-28,Pasadena,-118.1130556,34.1536612
70037,HOLLY OAK,QUERCUS,ILEX,Active,436,N,ALLEN,AVE,7.0,2024-05-28,Pasadena,-118.1130611,34.1537624
70039,JACARANDA,JACARANDA,MIMOSIFOLIA,Active,436,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.1129727,34.1535608
70040,HOLLY OAK,QUERCUS,ILEX,Active,630,N,ALLEN,AVE,12.0,2024-05-28,Pasadena,-118.1130535,34.1570403
70041,HOLLY OAK,QUERCUS,ILEX,Active,645,N,ALLEN,AVE,20.0,2024-05-28,Pasadena,-118.113307,34.1572381
70042,HOLLY OAK,QUERCUS,ILEX,Active,648,N,ALLEN,AVE,12.0,2024-05-28,Pasadena,-118.113048,34.1571828
70043,HOLLY OAK,QUERCUS,ILEX,Active,720,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.1130409,34.1584428
70044,HOLLY OAK,QUERCUS,ILEX,Active,729,N,ALLEN,AVE,22.0,2024-05-28,Pasadena,-118.1132917,34.1586819
70045,LIVE OAK,QUERCUS,AGRIFOLIA,Active,730,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1130377,34.1586393
70046,HOLLY OAK,QUERCUS,ILEX,Active,780,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.11302,34.1594215
70047,HOLLY OAK,QUERCUS,ILEX,Active,780,N,ALLEN,AVE,9.0,2024-05-28,Pasadena,-118.1130213,34.1595266
70048,JACARANDA,JACARANDA,MIMOSIFOLIA,Active,780,N,ALLEN,AVE,23.0,2024-05-28,Pasadena,-118.1129307,34.159287
70050,HOLLY OAK,QUERCUS,ILEX,Active,789,N,ALLEN,AVE,17.0,2024-05-28,Pasadena,-118.1132758,34.1596086
70052,HOLLY OAK,QUERCUS,ILEX,Active,804,N,ALLEN,AVE,18.0,2024-05-28,Pasadena,-118.1130207,34.1599294
70053,LIVE OAK,QUERCUS,AGRIFOLIA,Active,812,N,ALLEN,AVE,22.0,2024-05-28,Pasadena,-118.1130129,34.1600892
70054,BRUSH CHERRY,EUGENIA,PANICULATA,Active,822,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.11291,34.1603137
70055,BRUSH CHERRY,EUGENIA,PANICULATA,Active,822,N,ALLEN,AVE,14.0,2024-05-28,Pasadena,-118.1128199,34.1602992
70056,SOUTHERN MAGNOLIA,MAGNOLIA,GRANDIFLORA,Active,822,N,ALLEN,AVE,2.0,2024-05-28,Pasadena,-118.1127145,34.1602731
70057,BRUSH CHERRY,EUGENIA,PANICULATA,Active,822,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.112594,34.1602498
70058,BRUSH CHERRY,EUGENIA,PANICULATA,Active,822,N,ALLEN,AVE,19.0,2024-05-28,Pasadena,-118.1124769,34.1602344
70059,BRUSH CHERRY,EUGENIA,PANICULATA,Active,846,N,ALLEN,AVE,11.0,2024-05-28,Pasadena,-118.1129324,34.1604643
70061,BRUSH CHERRY,EUGENIA,PANICULATA,Active,846,N,ALLEN,AVE,21.0,2024-05-28,Pasadena,-118.112554,34.1603717
70062,BRUSH CHERRY,EUGENIA,PANICULATA,Active,846,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.112459,34.1603617
70063,HOLLY OAK,QUERCUS,ILEX,Active,848,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.1130019,34.1606983
70064,LIVE OAK,QUERCUS,AGRIFOLIA,Active,862,N,ALLEN,AVE,24.0,2024-05-28,Pasadena,-118.1130021,34.1608275
70065,HOLLY OAK,QUERCUS,ILEX,Active,870,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.1130051,34.1609703
70066,HOLLY OAK,QUERCUS,ILEX,Active,880,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.1130042,34.1611285
70067,LIVE OAK,QUERCUS,AGRIFOLIA,Active,941,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.1132345,34.162236
70068,HOLLY OAK,QUERCUS,ILEX,Active,951,N,ALLEN,AVE,17.0,2024-05-28,Pasadena,-118.1132318,34.1624309
70069,HOLLY OAK,QUERCUS,ILEX,Active,965,N,ALLEN,AVE,11.0,2024-05-28,Pasadena,-118.1132311,34.1626963
70070,HOLLY OAK,QUERCUS,ILEX,Active,985,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.1132314,34.1628802
70071,PINDO PALM,BUTIA,CAPITATA,Active,985,N,ALLEN,AVE,19.0,2024-05-28,Pasadena,-118.1133394,34.1631586
70072,HOLLY OAK,QUERCUS,ILEX,Active,990,N,ALLEN,AVE,17.0,2024-05-28,Pasadena,-118.1129917,34.1625221
70073,HOLLY OAK,QUERCUS,ILEX,Active,990,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1129919,34.1626383
70074,HOLLY OAK,QUERCUS,ILEX,Active,990,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1129945,34.162806
70075,HOLLY OAK,QUERCUS,ILEX,Active,990,N,ALLEN,AVE,21.0,2024-05-28,Pasadena,-118.1129958,34.1629112
70076,HOLLY OAK,QUERCUS,ILEX,Active,990,N,ALLEN,AVE,13.0,2024-05-28,Pasadena,-118.1129938,34.1631614
70077,LIVE OAK,QUERCUS,AGRIFOLIA,Active,990,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.1129916,34.1633113
70079,LIVE OAK,QUERCUS,AGRIFOLIA,Active,990,N,ALLEN,AVE,15.0,2024-05-28,Pasadena,-118.1129741,34.1636359
70080,HOLLY OAK,QUERCUS,ILEX,Active,990,N,ALLEN,AVE,26.0,2024-05-28,Pasadena,-118.1129731,34.1637967
70081,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,20.0,2024-05-28,Pasadena,-118.1128779,34.1640459
70082,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,23.0,2024-05-28,Pasadena,-118.1127573,34.1640428
70085,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,16.0,2024-05-28,Pasadena,-118.1124329,34.164047
70086,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,3.0,2024-05-28,Pasadena,-118.1122831,34.1640487
70087,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,20.0,2024-05-28,Pasadena,-118.1121282,34.1640489
70088,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,7.0,2024-05-28,Pasadena,-118.1119479,34.1640522
70089,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,14.0,2024-05-28,Pasadena,-118.1118114,34.1640518
70091,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,17.0,2024-05-28,Pasadena,-118.111292,34.1640551
70092,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,24.0,2024-05-28,Pasadena,-118.1111297,34.1640618
70093,CHINESE ELM,ULMUS,PARVIFOLIA,Active,990,N,ALLEN,AVE,7.0,2024-05-28,Pasadena,-118.1109357,34.1640587
70095,SAWTOOTH ZELKOVA,ZELKOVA,SERRATA,Active,990,N,ALLEN,AVE,3.0,2024-05-28,Pasadena,-118.1108186,34.1640599
70096,SAWTOOTH ZELKOVA,ZELKOVA,SERRATA,Active,990,N,ALLEN,AVE,5.0,2024-05-28,Pasadena,-118.1107193,34.1640633
70097,SAWTOOTH ZELKOVA,ZELKOVA,SERRATA,Active,990,N,ALLEN,AVE,2.0,2024-05-28,Pasadena,-118.1105921,34.1640642
