tree_rec,common_name,genus,species,status_text,address,street_direction,street_name,street_type,trunk_dia,fetched_on,municipality,lon,lat
69861,CHINESE ELM,ULMUS,PARVIFOLIA,Active,850,,ADELAIDE,DR,16.0,2024-05-28,Pasadena,-118.1093556,34.1606515
69862,SAWTOOTH ZELKOVA,ZELKOVA,SERRATA,Active,858,,ADELAIDE,DR,16.0,2024-05-28,Pasadena,-118.1093582,34.1607331
69863,CHINESE ELM,ULMUS,PARVIFOLIA,Active,859,,ADELAIDE,DR,14.0,2024-05-28,Pasadena,-118.109488,34.160724
69864,CHINESE ELM,ULMUS,PARVIFOLIA,Active,867,,ADELAIDE,DR,24.0,2024-05-28,Pasadena,-118.1094851,34.1608204
69865,CHINESE ELM,ULMUS,PARVIFOLIA,Active,867,,ADELAIDE,DR,21.0,2024-05-28,Pasadena,-118.1094883,34.1609219
69866,CHINESE ELM,ULMUS,PARVIFOLIA,Active,874,,ADELAIDE,DR,16.0,2024-05-28,Pasadena,-118.1093539,34.1609592
69867,CHINESE ELM,ULMUS,PARVIFOLIA,Active,874,,ADELAIDE,DR,16.0,2024-05-28,Pasadena,-118.1093555,34.1610492
69868,CHINESE ELM,ULMUS,PARVIFOLIA,Active,875,,ADELAIDE,DR,16.0,2024-05-28,Pasadena,-118.1094915,34.1610002
69869,CHINESE ELM,ULMUS,PARVIFOLIA,Active,880,,ADELAIDE,DR,15.0,2024-05-28,Pasadena,-118.1093618,34.1611262
69870,CHINESE ELM,ULMUS,PARVIFOLIA,Active,880,,ADELAIDE,DR,20.0,2024-05-28,Pasadena,-118.1093619,34.1611751
69871,CHINESE ELM,ULMUS,PARVIFOLIA,Active,883,,ADELAIDE,DR,15.0,2024-05-28,Pasadena,-118.1094932,34.161121
69872,CHINESE ELM,ULMUS,PARVIFOLIA,Active,890,,ADELAIDE,DR,26.0,2024-05-28,Pasadena,-118.1093605,34.161283
69873,CHINESE ELM,ULMUS,PARVIFOLIA,Active,891,,ADELAIDE,DR,14.0,2024-05-28,Pasadena,-118.1094934,34.1612841
69875,HOLLY OAK,QUERCUS,ILEX,Active,338,,ADENA,ST,12.0,2024-05-28,Pasadena,-118.1437343,34.1621826
69876,HOLLY OAK,QUERCUS,ILEX,Active,338,,ADENA,ST,9.0,2024-05-28,Pasadena,-118.143743,34.162304
69877,WHITE ALDER,ALNUS,RHOMBIFOLIA,Active,3660,,ALDER,LN,13.0,2024-05-28,Pasadena,-118.0743273,34.1722422
69878,MEXICAN FAN PALM,WASHINGTONIA,ROBUSTA,Active,341,,ADENA,ST,19.0,2024-05-28,Pasadena,-118.1436069,34.1625457
69879,CALIFORNIA FAN PALM,WASHINGTONIA,FILIFERA,Active,341,,ADENA,ST,36.0,2024-05-28,Pasadena,-118.1435183,34.1625442
69881,CALIFORNIA FAN PALM,WASHINGTONIA,FILIFERA,Active,341,,ADENA,ST,30.0,2024-05-28,Pasadena,-118.1434499,34.1625458
69883,LIVE OAK,QUERCUS,AGRIFOLIA,Active,341,,ADENA,ST,19.0,2024-05-28,Pasadena,-118.1437502,34.1626914
69884,LIVE OAK,QUERCUS,AGRIFOLIA,Active,341,,ADENA,ST,19.0,2024-05-28,Pasadena,-118.1437503,34.1627733
